penalty,support,status,norm,prime,valuation,gcd_degree
4,-1:1;1:18,obstructed,31806871812338588763815982048490054952801,20982116389679340383,1,1
4,-1:1;1:19,survivor,31806872452853181093535605290663953112549,,,
4,-1:1;1:20,obstructed,31806872109645045188271466584214937869069,585043,1,1
4,-1:1;1:21,survivor,31806900478600488389446200130948797956113,,,
4,-1:1;1:22,obstructed,31833784520087590921647568661221217214577,22109,1,1
4,-1:1;1:23,survivor,31810065304701917529180126072671903141039,,,
4,-1:1;1:24,obstructed,31806874472453745772119861577221871138301,937,1,1
4,-1:1;1:25,obstructed,31806872074332671561025131987390062345129,106663,1,1
4,-1:1;1:26,obstructed,31806872377701414060806208813061568924881,86161,1,1
4,-1:1;1:27,survivor,31806969543050401713473271424622906357869,,,
4,-1:1;1:28,obstructed,31806872098318114962963558284796429704387,19358785163,1,1
4,-1:1;1:29,survivor,31806872177776079209147176578969397139721,,,
4,-1:1;1:30,survivor,31806872012263184002264030472379778779251,,,
4,-1:1;1:31,survivor,31806854896213121365583994489006030403217,,,
4,-1:1;1:32,obstructed,31803679155165698669761005863208293314273,76379,1,1
4,-1:1;1:33,obstructed,31360459545052436256962553581119414154891,94448023,1,1
5,-1:1;1:2;1:3,obstructed,26354767503638646664227686151277573103281,20233,1,1
5,-1:1;1:2;1:4,survivor,27364962866100347013566440872468600923167,,,
5,-1:1;1:2;1:5,obstructed,27095032879060177355370468778797735565981,492047,1,1
5,-1:1;1:2;1:6,obstructed,27018625076975566624272294511892086402963,15107293,1,1
5,-1:1;1:2;1:7,obstructed,27030366488917432672233323678610780355987,11088767,1,1
5,-1:1;1:2;1:8,survivor,27035631391586697352358503522271380158241,,,
5,-1:1;1:2;1:9,obstructed,27035225345494766595592070210419587244303,250092239,1,1
5,-1:1;1:2;1:10,obstructed,27034883999970813826440132742045410267851,799371968248409,1,1
5,-1:1;1:2;1:11,obstructed,27034885323893886909664113837499129689241,807579809,1,1
5,-1:1;1:2;1:12,obstructed,27034908823949469594373214673855470469247,554089,1,1
5,-1:1;1:2;1:13,obstructed,27034833567867730152219195698061212097373,31489,1,1
5,-1:1;1:2;1:14,obstructed,27034885716659381953921047896839024034419,749421051877,1,1
5,-1:1;1:2;1:15,obstructed,27034917153486432363400369337467436989133,41539,1,1
5,-1:1;1:2;1:16,obstructed,27035249471588897229263460051990966807911,4153,1,1
5,-1:1;1:2;1:17,obstructed,27033834565013171115803477800798944617089,401,1,1
5,-1:1;1:2;1:18,obstructed,27034850830866013844770450853454613901261,3885126587,1,1
5,-1:1;1:2;1:19,obstructed,27034908656846445106695859146710823611783,113497,1,1
5,-1:1;1:2;1:20,obstructed,27034834469106076568188741241292062327891,177124951,1,1
5,-1:1;1:2;1:21,obstructed,27037059357748103297457270265919572396381,2411,1,1
5,-1:1;1:2;1:22,survivor,27053603603250518667003044563118118876863,,,
5,-1:1;1:2;1:23,survivor,27013479818972342514662413873753276330367,,,
5,-1:1;1:2;1:24,survivor,27035581076435763178052935617515303073497,,,
5,-1:1;1:2;1:25,obstructed,27034918886950546075934892059206819255273,18076115857,1,1
5,-1:1;1:2;1:26,survivor,27034919806782206101521432186329112834731,,,
5,-1:1;1:2;1:27,obstructed,27034971530172037296691861488470856086999,401,1,1
5,-1:1;1:2;1:28,obstructed,27034912568983478572445296418228642865257,937,1,1
5,-1:1;1:2;1:29,obstructed,27034855609343127143117491766430338218643,937,2,2
5,-1:1;1:2;1:30,obstructed,27035560368819719315337758270502221472881,401,1,1
5,-1:1;1:2;1:31,obstructed,27027973414878596499656336116857460575311,25057,1,1
5,-1:1;1:2;1:32,obstructed,27094939439554674718062752075935788114481,2657259931,1,1
5,-1:1;1:2;1:33,obstructed,26711370691060800303384357162589608845449,148873,1,1
5,-1:1;1:3;1:4,obstructed,25907880944907772650653754585659702293603,6967,1,1
5,-1:1;1:3;1:5,obstructed,26664124803817246536645413052552930269081,2411,1,1
5,-1:1;1:3;1:6,obstructed,27053603603242481063625100361453234623087,13399,1,1
5,-1:1;1:3;1:7,obstructed,26732617260208061489098562709527342763973,937,1,1
5,-1:1;1:3;1:8,obstructed,26665981658947804028988636819818809079519,143513,1,1
5,-1:1;1:3;1:9,obstructed,26639820919680578080282898868499197790421,23455674497,1,1
5,-1:1;1:3;1:10,obstructed,26657600888627394953962179884731248229169,2277061,1,1
5,-1:1;1:3;1:11,obstructed,26662777625847235373572066734765384440993,195907,1,1
5,-1:1;1:3;1:12,survivor,26664616778926206942221062180126846331833,,,
5,-1:1;1:3;1:13,obstructed,26663614858994563776970781707882912256101,481997,1,1
5,-1:1;1:3;1:14,obstructed,26663159318042589358838991327398402670457,1450147,1,1
5,-1:1;1:3;1:15,obstructed,26663044476405892078800609654905543424637,47876189,1,1
5,-1:1;1:3;1:16,survivor,26664654751805088759138351522703522094803,,,
5,-1:1;1:3;1:17,obstructed,26661767536524123463113101114237910605971,1365323995615537,1,1
5,-1:1;1:3;1:18,survivor,26663219608853823919439221939184396007811,,,
5,-1:1;1:3;1:19,survivor,26663131915666743867525063285845363871587,,,
5,-1:1;1:3;1:20,survivor,26664042143896925412310130423351436148213,,,
5,-1:1;1:3;1:21,obstructed,26657627015846321778648026953281964736057,5876971,1,1
5,-1:1;1:3;1:22,obstructed,26686605719039396837717960883002262952139,169514287,1,1
5,-1:1;1:3;1:23,survivor,26660430290250866962285539133425676636261,,,
5,-1:1;1:3;1:24,survivor,26663205926598150169226765617838122963751,,,
5,-1:1;1:3;1:25,survivor,26663252568853706513784978433184229649109,,,
5,-1:1;1:3;1:26,survivor,26663177518801974682632644542509448997413,,,
5,-1:1;1:3;1:27,survivor,26663217811731185230412309936161382143799,,,
5,-1:1;1:3;1:28,obstructed,26663295622460730360380580633305892889883,192557,1,1
5,-1:1;1:3;1:29,survivor,26666030594154316804416267132553257530539,,,
5,-1:1;1:3;1:30,obstructed,26654876670264858312855591997143930721087,777199,1,1
5,-1:1;1:3;1:31,obstructed,26663200038317672113078492749992454307091,1335636267353,1,1
5,-1:1;1:3;1:32,obstructed,27056354804978079429718340460413781080291,108271,1,1
5,-1:1;1:3;1:33,survivor,26281185239407658646342649054389086347397,,,
5,-1:1;1:4;1:5,obstructed,25876215674120221857212728402565910273371,24863833,1,1
5,-1:1;1:4;1:6,survivor,26581465027808106688693763931491072509369,,,
5,-1:1;1:4;1:7,obstructed,26705501493683984943249072971680821882407,401,2,2
5,-1:1;1:4;1:8,survivor,27035984626559035744023566884898570849843,,,
5,-1:1;1:4;1:9,obstructed,26710980953008401374381592926830977287957,937,1,1
5,-1:1;1:4;1:10,obstructed,26648157255873668977475397017707625064809,93263,1,1
5,-1:1;1:4;1:11,obstructed,26635560844415325051774358155527894007859,11319757553893,1,1
5,-1:1;1:4;1:12,obstructed,26616301192521542355308020074360636876389,401,1,1
5,-1:1;1:4;1:13,obstructed,26634724395890337679269827618959885191607,14742905107601381,1,1
5,-1:1;1:4;1:14,obstructed,26639642285611308916150865645272297501357,155171,1,1
5,-1:1;1:4;1:15,survivor,26640740107258483411385818591297137790177,,,
5,-1:1;1:4;1:16,survivor,26642367822250898741078327714347327863193,,,
5,-1:1;1:4;1:17,obstructed,26639424442728136060147368453170164778449,1189651,1,1
5,-1:1;1:4;1:18,obstructed,26640863056494539098493395267782052168561,937,1,1
5,-1:1;1:4;1:19,obstructed,26640488294816454431607370004847524089001,937,1,1
5,-1:1;1:4;1:20,obstructed,26641137205571649241503038908869897088111,297881,1,1
5,-1:1;1:4;1:21,obstructed,26616208088888788406455527843626907591761,401,1,1
5,-1:1;1:4;1:22,obstructed,26664603766450262676979728655425224329091,2143,1,1
5,-1:1;1:4;1:23,obstructed,26642580297708487633763707790058145104997,4472651,1,1
5,-1:1;1:4;1:24,survivor,26634730907399560281035262564498014200237,,,
5,-1:1;1:4;1:25,obstructed,26643355390157724498687516154694416793797,4153,1,1
5,-1:1;1:4;1:26,survivor,26640217701339920220823621908798132779389,,,
5,-1:1;1:4;1:27,obstructed,26641396382184091779164733546332487956641,401,1,1
5,-1:1;1:4;1:28,obstructed,26641174657535886848352159217919371602877,79585798602377,1,1
5,-1:1;1:4;1:29,obstructed,26631922403518084978760883714873534177269,401,1,1
